i,name,file,seeds,d,m,min,max,region,family,reviewed
472,Llanito,namebases-europe.js,50,lr,0,4,11,Europe,Spanish,[ ]
473,Logudorese,namebases-europe.js,50,nld,0,4,11,Europe,Sardinian,[ ]
474,Lombard,namebases-europe.js,50,cltr,0,4,11,Europe,Lombard,[ ]
475,Forro São Tomé,namebases-africa.js,47,lnrt,0,5,12,None,None,[ ]
476,Lucchese,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
477,M-tis French,namebases-europe.js,50,lnrs,0,4,11,None,None,[ ]
478,Macerata,namebases-europe.js,50,cltr,0,4,11,Europe,Central Italian,[ ]
479,Principense Sundy,namebases-africa.js,47,lnr,0,5,11,None,None,[ ]
480,Mallorcan,namebases-europe.js,50,lnrt,0,4,11,Europe,Eastern,[ ]
481,Maltese-Italian,namebases-europe.js,50,lnrs,0,4,11,None,None,[ ]
482,Manduriano,namebases-europe.js,50,lnrt,0,4,11,Europe,Salentino,[ ]
483,Maramureș,namebases-europe.js,50,lnr,0,4,11,Europe,Daco-Romanian,[ ]
484,Menorcan,namebases-europe.js,50,lnrt,0,4,11,Europe,Eastern,[ ]
485,Mentonasc,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
